PLAYER,YEAR,POS,HEIGHT,WEIGHT,STANDING REACH,WINGSPAN,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,THREE QUARTER SPRINT
Ochai Agbaji,2022,SG,76.5,216.8,104.0,82.25,32.0,39.0,10.77,3.13
Patrick Baldwin Jr.,2022,SF,81.25,230.8,110.5,85.75,23.5,26.5,12.25,3.45
Dominick Barlow,2022,PF,80.75,221.0,108.5,87.0,28.5,34.0,11.29,3.33
MarJon Beauchamp,2022,SG,77.25,196.6,106.0,84.75,29.7,35.2,11.3,3.3
Hugo Besson,2022,SG,76.5,180.4,102.0,77.5,24.5,31.5,11.36,3.4
Malaki Branham,2022,SG,76.0,194.8,102.5,82.0,29.0,35.0,11.38,3.17
Christian Braun,2022,SG,77.5,209.2,99.5,78.5,33.5,40.0,11.0,3.16
Kendall Brown,2022,SF,78.25,201.2,103.0,83.0,31.5,41.0,11.57,3.29
John Butler Jr.,2022,PF,83.75,174.4,112.0,86.25,26.5,28.5,11.16,3.33
Julian Champagnie,2022,SF,78.25,212.4,107.0,82.0,28.5,34.5,11.39,3.14
Kennedy Chandler,2022,PG,71.5,172.2,97.0,77.25,31.0,41.5,10.73,3.2
Max Christie,2022,SG,76.25,189.2,102.5,80.75,32.0,37.5,10.82,3.07
Kofi Cockburn,2022,C,83.0,293.0,110.5,88.25,29.5,32.5,12.11,3.33
Dyson Daniels,2022,SG,78.0,195.2,105.0,82.5,29.0,34.0,10.81,3.22
Johnny Davis,2022,PG,76.25,196.4,103.5,80.5,29.8,35.5,11.2,3.2
JD Davison,2022,PG,72.5,191.8,99.5,78.5,30.0,37.0,11.38,3.26
Moussa Diabate,2022,C,81.25,216.6,109.5,86.5,29.0,36.5,11.16,3.26
Tari Eason,2022,PF,78.75,217.4,107.5,86.0,29.0,34.1,11.5,3.3
Keon Ellis,2022,SG,75.5,167.4,102.0,80.5,28.0,35.5,10.87,3.18
Michael Foster Jr.,2022,C,79.75,236.6,109.5,84.25,28.0,32.5,11.49,3.22
Collin Gillespie,2022,PG,73.5,195.8,98.0,76.0,26.5,33.0,10.95,3.21
Ron Harper Jr.,2022,SF,76.0,240.4,105.5,85.25,26.0,30.5,11.41,3.4
Harrison Ingram,2022,SF,77.25,232.8,103.5,84.25,29.5,35.0,11.83,3.31
Nikola Jovic,2022,SF,81.5,222.6,108.5,84.25,28.6,33.3,11.6,3.3
Johnny Juzang,2022,SG,77.25,208.6,102.5,83.0,27.5,32.5,11.03,3.29
Trevor Keels,2022,SG,75.25,223.8,101.0,79.25,24.5,31.0,11.33,3.27
Walker Kessler,2022,C,84.25,256.0,113.0,88.25,27.5,31.5,12.0,3.4
Christian Koloko,2022,C,82.75,221.0,113.0,89.25,28.0,33.5,11.3,3.27
Jake LaRavia,2022,PF,78.75,227.2,104.0,81.5,27.5,34.0,10.58,3.37
Justin Lewis,2022,PF,78.25,235.4,105.5,86.5,32.5,35.0,11.49,3.23
E.J. Liddell,2022,PF,77.5,243.0,103.5,83.75,35.5,38.0,11.11,3.26
Bennedict Mathurin,2022,SG,76.5,204.6,104.0,81.0,29.6,35.1,11.3,3.3
Matthew Mayer,2022,SF,80.0,216.4,105.0,82.5,25.5,31.5,10.74,3.39
Bryce McGowens,2022,SG,77.25,181.2,103.5,80.75,29.5,34.0,11.12,3.27
Leonard Miller,2022,SF,80.5,211.0,106.5,86.0,30.0,36.5,11.11,3.36
Aminu Mohammed,2022,SG/SF,75.5,212.8,104.0,83.0,29.5,36.0,11.54,3.33
Iverson Molinar,2022,PG,74.25,183.2,101.0,80.0,31.0,38.0,11.23,3.19
Jean Montero,2022,PG,73.0,171.8,98.5,77.25,29.5,37.0,11.19,3.17
Wendell Moore,2022,SG,76.25,217.2,101.0,84.5,32.5,38.5,10.94,3.3
Andrew Nembhard,2022,PG,75.0,195.6,99.0,77.75,26.5,35.0,10.46,3.26
Scotty Pippen Jr.,2022,PG,72.0,180.0,95.5,77.75,30.5,37.5,11.07,3.21
Gabriele Procida,2022,SG/SF,77.75,192.8,106.0,80.0,29.5,35.0,11.02,3.07
Orlando Robinson,2022,C,81.75,244.4,111.0,88.0,23.0,27.5,11.4,3.55
David Roddy,2022,PF,76.5,260.8,105.0,83.5,27.0,35.5,10.75,3.22
Ryan Rollins,2022,SG,74.0,179.2,100.5,81.75,30.5,36.5,11.26,3.07
Dereon Seabron,2022,SG,76.75,182.4,103.5,80.75,30.5,38.0,11.03,3.12
Shaedon Sharpe,2022,SG,76.25,198.0,103.5,83.5,29.8,35.4,11.2,3.2
Terquavion Smith,2022,SG,74.25,165.2,98.0,78.5,30.5,38.5,10.63,3.14
Matteo Spagnolo,2022,PG,76.0,196.2,102.0,80.0,25.5,31.5,11.42,3.4
Julian Strawther,2022,SF,77.75,207.6,104.5,81.5,28.5,35.0,10.3,3.26
Dalen Terry,2022,SG,78.0,195.2,106.0,84.75,29.6,35.1,11.3,3.3
Drew Timme,2022,C,80.25,231.6,107.5,86.0,25.5,31.5,11.71,3.38
Jabari Walker,2022,PF,78.75,213.8,105.0,82.75,29.5,32.5,11.53,3.24
TyTy Washington Jr.,2022,SG,74.25,196.4,99.5,80.0,30.1,35.9,11.2,3.2
Peyton Watson,2022,SF,78.75,203.4,107.5,84.5,28.0,33.5,11.03,3.28
Blake Wesley,2022,SG,75.0,187.2,103.0,81.25,30.0,36.0,11.55,3.21
Alondes Williams,2022,SG,75.75,209.0,102.0,79.0,30.0,35.5,10.96,3.15
Jalen Williams,2022,SG,76.5,209.2,105.5,86.25,33.5,39.0,11.13,3.11
Jaylin Williams,2022,C,80.75,236.6,108.5,85.0,24.5,30.0,11.64,3.5
Mark Williams,2022,C,84.0,242.4,117.0,90.5,27.8,32.0,11.9,3.4
Trevion Williams,2022,C,79.25,264.6,108.5,86.75,27.5,30.0,12.75,3.48
Max Abmas,2021,PG,70.5,161.8,94.0,73.75,28.5,32.5,10.9,3.12
Marcus Bagley,2021,SF,78.0,216.8,102.5,83.0,32.5,38.5,12.26,3.17
Scottie Barnes,2021,SF,79.0,225.4,108.0,86.75,36.0,39.5,10.88,3.15
Charles Bassey,2021,C,81.25,230.2,107.5,87.0,33.0,36.0,12.19,3.13
Brandon Boston Jr.,2021,SF,77.75,188.0,104.0,82.75,29.8,35.5,11.2,3.2
James Bouknight,2021,SG,75.5,190.0,101.5,80.25,30.0,35.9,11.2,3.2
Greg Brown III,2021,PF,79.25,206.4,107.0,84.25,33.5,39.0,10.98,3.19
Jared Butler,2021,PG,74.25,193.0,98.5,76.0,30.1,36.0,11.1,3.2
Justin Champagnie,2021,PF,77.75,206.4,104.0,81.5,27.0,35.0,11.94,3.34
Josh Christopher,2021,SG,75.25,214.8,101.0,81.25,29.5,37.5,11.32,3.14
Ayo Dosunmu,2021,SG,75.5,194.4,102.0,82.25,27.0,33.5,11.51,3.23
David Duke Jr.,2021,SG,76.25,203.6,102.5,80.75,30.0,39.0,11.21,3.08
Kessler Edwards,2021,PF,79.0,203.0,106.0,83.25,28.0,37.0,11.3,3.25
Luka Garza,2021,C,82.0,242.8,107.5,85.5,24.0,29.5,11.9,3.51
RaiQuan Gray,2021,PF,78.5,268.6,105.0,82.75,26.5,31.5,11.69,3.25
Quentin Grimes,2021,SG,76.0,205.0,101.0,80.0,30.5,38.5,11.09,3.07
Sam Hauser,2021,SF,78.75,217.4,102.0,81.25,28.5,34.5,11.14,3.34
Aaron Henry,2021,SF,76.5,209.6,103.5,82.75,29.0,35.0,11.68,3.07
Ariel Hukporti,2021,C,82.75,246.0,111.5,86.5,24.5,31.0,12.2,3.12
Matt Hurt,2021,PF,80.5,232.4,106.5,81.5,25.5,32.5,11.44,3.34
Nah'Shon Hyland,2021,SG,74.0,169.0,101.5,81.25,26.5,34.0,10.53,3.1
David Johnson,2021,SG,75.25,202.8,104.0,82.5,33.0,39.0,12.02,3.03
Jalen Johnson,2021,PF,79.75,209.6,106.0,84.25,29.1,34.2,11.5,3.3
Keon Johnson,2021,SG,75.5,184.8,97.0,79.25,41.5,48.0,11.45,3.0
Carlik Jones,2021,PG,72.0,173.6,97.5,77.0,31.5,36.0,10.96,3.16
Herbert Jones,2021,SF,78.0,206.4,106.0,84.25,28.5,36.5,11.02,3.25
Kai Jones,2021,PF,82.0,221.4,110.5,85.75,28.5,33.3,11.6,3.3
Corey Kispert,2021,SF,78.0,223.8,102.0,79.0,30.0,37.5,10.91,3.12
AJ Lawson,2021,SG/SF,77.5,179.2,99.5,78.75,33.0,41.0,11.0,2.98
Scottie Lewis,2021,SF,76.0,187.6,101.5,84.0,34.0,42.0,10.45,2.98
Isaiah Livers,2021,SF,77.75,231.8,104.5,81.25,28.9,33.8,11.5,3.3
Makur Maker,2021,C,82.25,232.2,112.0,85.75,25.5,31.0,11.87,3.34
Sandro Mamukelashvili,2021,C,81.0,239.8,106.5,85.25,30.5,36.5,11.63,3.21
Tre Mann,2021,PG,75.25,177.6,98.5,76.0,30.3,36.4,11.1,3.2
Miles McBride,2021,PG,73.0,195.2,99.5,80.75,31.0,38.5,11.08,3.1
Davion Mitchell,2021,PG,72.0,202.4,96.5,76.25,30.2,36.1,11.1,3.2
Isaiah Mobley,2021,PF,80.0,238.0,107.5,87.0,26.5,32.0,12.7,3.3
Moses Moody,2021,SG,76.5,210.6,105.0,84.75,29.5,34.9,11.3,3.3
Trey Murphy III,2021,SF,79.5,206.0,105.5,84.0,34.0,38.0,11.65,3.14
Daishen Nix,2021,PG,75.0,225.6,100.0,78.75,29.5,36.5,11.72,3.0
John Petty Jr.,2021,SG,76.5,186.2,103.5,81.5,27.5,34.0,11.51,3.35
Yves Pons,2021,PF,77.5,206.4,104.0,84.75,36.0,42.5,10.89,3.1
Jason Preston,2021,PG,75.0,180.6,100.5,80.5,30.5,38.5,10.82,3.13
Joshua Primo,2021,SG,76.0,189.0,102.5,81.25,30.5,37.5,10.97,3.22
Roko Prkacin,2021,PF,79.5,225.4,107.0,83.0,28.8,33.7,11.6,3.3
Neemias Queta,2021,C,83.25,248.4,112.5,88.0,27.0,33.0,11.85,3.29
Austin Reaves,2021,SG,76.5,197.2,101.0,78.25,25.0,35.0,10.94,3.07
Jeremiah Robinson-Earl,2021,PF,79.75,242.4,105.5,81.75,27.0,32.0,11.64,3.29
Terrence Shannon Jr.,2021,SF,77.5,206.6,100.0,80.25,32.5,39.5,11.51,3.21
Jericho Sims,2021,C,81.0,250.2,106.0,87.25,37.0,44.5,11.59,3.05
Jaden Springer,2021,SG,75.0,202.0,99.0,79.75,34.5,41.5,11.46,3.13
DJ Steward,2021,PG,72.75,162.2,98.5,79.0,34.5,38.5,11.14,3.08
JT Thor,2021,PF,80.5,203.0,110.0,87.25,31.5,35.0,12.19,3.06
Isaiah Todd,2021,PF,80.75,219.0,107.5,85.25,28.5,35.5,11.38,3.31
Duane Washington Jr.,2021,SG,74.25,196.8,101.0,79.75,29.5,35.5,11.5,3.17
Trendon Watford,2021,PF,79.5,237.4,105.0,86.25,28.0,35.0,11.69,3.27
Joe Wieskamp,2021,SF,77.75,204.8,103.0,83.0,30.0,42.0,10.7,3.04
Aaron Wiggins,2021,SG/SF,76.5,190.0,103.0,81.75,29.5,36.0,11.2,3.04
Ziaire Williams,2021,SF,80.25,188.4,106.5,82.25,34.0,39.5,10.69,3.12
McKinley Wright IV,2021,PG,71.25,192.2,94.0,77.25,31.5,38.0,10.76,3.08
Moses Wright,2021,PF,79.75,225.8,107.0,84.75,31.5,38.0,11.2,3.15
Marcus Zegarowski,2021,PG,72.75,180.8,96.0,74.75,30.0,35.5,11.47,3.11
Precious Achiuwa,2020,PF,79.5,234.0,108.5,84.75,28.6,33.3,11.6,3.3
Ty-Shon Alexander,2020,SG,74.0,200.8,100.0,80.0,28.0,33.0,11.33,3.26
Udoka Azubuike,2020,C,82.0,259.5,109.0,91.25,37.0,41.0,11.82,3.23
Tyler Bey,2020,PF,78.0,212.8,105.5,85.25,37.0,43.5,11.35,3.17
Yoeli Childs,2020,PF,78.0,226.4,106.0,83.5,34.0,38.5,10.87,3.22
Mamadi Diakite,2020,PF,80.5,222.1,107.0,87.75,28.0,37.0,11.95,3.16
Devon Dotson,2020,PG,72.5,185.2,95.0,75.0,31.5,40.5,10.44,3.02
Paul Eboua,2020,SF/PF,78.0,222.2,108.0,87.5,33.0,35.5,10.79,3.19
CJ Elleby,2020,SG/SF,77.5,198.6,100.5,79.25,30.5,36.5,11.25,3.25
Trent Forrest,2020,PG,75.5,203.0,102.5,79.5,28.0,34.5,11.04,3.18
Josh Green,2020,SG/SF,76.5,214.0,101.5,81.75,30.5,39.5,10.64,3.12
Ashton Hagans,2020,PG,73.5,193.0,99.5,80.0,29.5,36.5,10.82,3.13
Joshua Hall,2020,SF,78.0,196.6,104.5,83.0,31.5,37.5,12.16,3.38
Jalen Harris,2020,SG,74.75,193.4,97.5,79.0,37.5,42.5,10.59,3.11
Markus Howard,2020,PG,69.5,170.8,91.5,72.25,30.5,35.5,11.21,3.11
Elijah Hughes,2020,SG/SF,76.75,229.0,101.5,79.5,29.0,34.1,11.5,3.3
Isaiah Joe,2020,SG,75.0,170.4,101.0,79.5,30.5,36.7,11.0,3.2
Mason Jones,2020,SG,75.75,207.2,102.5,79.0,24.0,31.0,10.6,3.33
Nathan Knight,2020,PF/C,80.0,235.0,109.5,86.0,23.0,31.5,11.56,3.31
Theo Maledon,2020,PG,76.0,187.4,100.5,80.75,30.0,35.9,11.2,3.2
Karim Mane,2020,PG/SG,77.0,196.0,102.0,83.0,31.0,36.0,11.52,3.04
Naji Marshall,2020,SF,77.75,233.5,102.5,84.75,28.5,35.0,11.77,3.37
Kenyon Martin Jr.,2020,SF/PF,78.0,213.2,102.0,79.25,31.5,38.5,11.93,3.16
Skylar Mays,2020,SG,75.0,204.0,99.0,78.0,29.0,37.5,10.65,3.3
Zeke Nnaji,2020,PF/C,81.25,246.8,105.5,86.0,33.0,38.0,10.94,3.2
Jordan Nwora,2020,SF/PF,77.75,223.0,104.0,82.25,29.0,35.0,11.29,3.43
Reggie Perry,2020,PF/C,80.25,249.6,106.5,84.25,30.0,33.5,11.26,3.25
Myles Powell,2020,PG/SG,72.5,194.0,99.0,79.0,30.3,36.4,11.1,3.2
Immanuel Quickley,2020,SG,74.0,185.8,99.0,80.25,29.5,35.5,11.21,3.17
Jahmi'us Ramsey,2020,SG,74.5,193.4,100.5,78.0,30.1,36.0,11.1,3.2
Paul Reed Jr.,2020,PF,80.5,219.2,109.5,86.0,26.5,37.5,12.29,3.45
Nick Richards,2020,C,82.5,241.6,110.0,86.25,30.0,34.0,11.42,3.25
Grant Riller,2020,PG/SG,72.25,178.4,96.5,77.25,32.5,39.5,11.17,3.07
Jayden Scrubb,2020,SG/SF,77.0,185.2,104.5,81.5,29.9,35.7,11.2,3.2
Jalen Smith,2020,PF/C,81.25,224.6,110.0,86.25,28.5,33.3,11.6,3.3
Cassius Stanley,2020,SG,77.0,201.6,99.5,79.0,34.5,44.0,11.4,3.09
Lamar Stevens,2020,SF/PF,77.75,228.0,101.0,81.0,35.0,41.0,10.35,3.2
Isaiah Stewart,2020,C,79.25,243.0,108.5,88.75,28.4,33.0,11.7,3.3
Tyrell Terry,2020,PG,73.5,170.0,96.0,73.75,30.0,34.0,10.78,3.28
Killian Tillie,2020,PF,80.75,221.6,106.0,80.0,27.5,32.0,11.6,3.4
Xavier Tillman Sr.,2020,PF/C,79.5,266.5,106.0,86.0,26.0,32.5,11.8,3.49
Kaleb Wesson,2020,C,81.25,252.6,111.5,87.5,21.5,27.0,11.73,3.6
Kahlil Whitney,2020,SF,77.5,205.0,105.5,84.25,29.0,39.0,11.17,3.28
Cassius Winston,2020,PG,72.5,196.0,97.0,78.0,24.0,28.0,11.15,3.61
Robert Woodard II,2020,SF,77.5,230.2,105.5,86.0,32.0,38.0,11.1,3.18
Nickeil Alexander-Walker,2019,SG,76.25,203.8,102.0,81.5,29.6,35.2,11.3,3.3
Darius Bazley,2019,PF,79.75,208.4,107.0,84.0,30.5,37.0,11.09,3.27
Bol Bol,2019,C,84.75,208.0,115.5,91.0,28.4,33.2,11.6,3.4
Jordan Bone,2019,SG,73.5,179.0,95.0,75.25,36.0,42.5,9.97,3.08
Brian Bowen II,2019,SF,78.25,200.0,103.0,82.0,32.0,35.5,10.98,3.26
Ky Bowman,2019,PG,73.0,181.2,98.0,79.0,27.5,33.0,11.11,3.26
Ignas Brazdeikis,2019,SF,77.75,220.8,102.0,81.25,31.0,36.5,11.06,3.36
O'Shae Brissett,2019,SF/PF,79.0,203.2,104.0,84.0,34.0,37.5,11.3,3.48
Moses Brown,2019,C,85.25,237.2,113.0,88.75,27.0,31.0,11.95,3.51
Brandon Clarke,2019,SF,79.25,207.2,102.0,80.25,34.0,40.5,10.61,3.15
Nicolas Claxton,2019,C,82.0,216.6,110.0,86.5,31.5,36.5,11.26,3.36
Tyler Cook,2019,PF,79.25,245.4,106.5,84.5,27.5,32.0,11.32,3.28
Jarrett Culver,2019,SG,77.25,194.2,100.5,81.5,29.7,35.3,11.3,3.2
Terence Davis,2019,SG,75.0,192.4,101.0,80.75,29.5,34.0,10.69,3.28
Luguentz Dort,2019,PG,74.75,222.2,99.5,80.5,32.5,38.0,10.79,3.22
Carsen Edwards,2019,PG,70.75,199.4,94.5,78.0,28.5,34.0,10.53,3.22
Tacko Fall,2019,C,89.25,288.8,122.5,98.25,22.0,26.5,13.01,3.78
Bruno Fernando,2019,C,80.75,237.0,110.0,87.25,29.5,33.5,11.29,3.21
Daniel Gafford,2019,PF,81.25,237.6,110.0,86.25,32.5,36.5,11.61,3.25
Kyle Guy,2019,SG,72.75,167.8,95.5,76.5,30.5,36.5,10.48,3.27
Jaylen Hands,2019,PG,73.5,180.4,97.0,77.5,33.0,41.5,10.73,3.12
Jared Harper,2019,PG,69.75,169.2,94.0,77.5,33.5,40.5,10.77,3.04
Jaxson Hayes,2019,PF,82.25,218.6,110.5,87.5,27.0,34.5,11.74,3.37
Dewan Hernandez,2019,C,81.0,232.8,107.0,85.75,30.5,35.5,11.46,3.28
Tyler Herro,2019,SG,76.5,192.4,100.5,75.25,29.8,35.6,11.2,3.2
Jalen Hoard,2019,PF,79.25,212.6,105.5,84.75,27.5,35.5,11.44,3.34
Talen Horton-Tucker,2019,SG,74.5,235.4,103.0,85.25,26.0,34.5,11.34,3.34
DaQuan Jeffries,2019,SF/PF,76.0,215.6,104.0,83.25,29.4,34.8,11.4,3.3
Ty Jerome,2019,PG,76.25,194.4,98.0,76.0,26.0,31.5,11.21,3.4
Cameron Johnson,2019,SG,79.0,205.2,103.0,82.0,30.5,36.5,10.52,3.26
Keldon Johnson,2019,SG,76.75,216.4,104.0,81.25,29.3,34.6,11.4,3.3
Mfiondu Kabengele,2019,PF,80.75,256.2,109.5,87.0,28.0,35.5,11.21,3.25
Louis King,2019,SF,78.75,195.2,104.5,84.25,29.0,33.0,10.99,3.28
Dedric Lawson,2019,PF,79.0,233.0,107.5,86.25,23.5,26.0,11.8,3.6
Jalen Lecque,2019,PG,74.5,185.2,98.5,80.5,35.0,43.0,11.09,3.29
Nassir Little,2019,SF,76.5,224.2,104.5,85.25,31.0,38.5,12.15,3.24
Terance Mann,2019,SG/SF,76.75,204.6,101.0,79.75,32.5,38.5,11.51,3.3
Cody Martin,2019,PG/SG,76.75,192.2,102.5,82.25,28.0,35.5,10.44,3.32
Charles Matthews,2019,SG,77.0,194.8,103.0,81.5,29.5,37.5,11.26,3.38
Jalen McDaniels,2019,SF,80.25,191.6,105.5,84.25,29.5,33.5,11.54,3.32
Zach Norvell Jr.,2019,SG,76.5,206.4,101.0,78.0,24.0,30.0,11.6,3.43
Jaylen Nowell,2019,SG,75.25,202.4,98.0,79.25,32.0,38.5,10.76,3.23
KZ Okpala,2019,SF,79.25,209.6,106.5,85.75,30.5,37.0,10.88,3.38
Miye Oni,2019,SG,76.25,205.6,100.5,82.75,30.5,38.5,11.71,3.17
Eric Paschall,2019,SF,78.0,254.4,103.5,83.75,33.0,38.0,11.63,3.3
Shamorie Ponds,2019,PG,71.5,180.0,96.5,75.5,29.0,37.0,11.01,3.2
Jordan Poole,2019,SG,75.5,190.8,99.5,78.75,28.0,35.5,10.59,3.27
Kevin Porter Jr.,2019,SG,76.0,212.6,103.0,81.0,27.0,34.0,10.82,3.14
Jontay Porter,2019,PF,81.75,210.4,109.5,84.0,28.8,33.8,11.5,3.3
Cameron Reddish,2019,SF,78.5,207.8,105.5,84.5,29.3,34.5,11.4,3.3
Naz Reid,2019,PF,80.75,255.8,109.0,87.25,26.0,32.5,12.03,3.42
Isaiah Roby,2019,PF,79.25,214.0,106.0,85.0,32.5,35.5,10.63,3.25
Luka Samanic,2019,PF,81.5,227.2,107.0,82.5,27.0,38.0,11.01,3.27
Admiral Schofield,2019,SF,76.0,240.6,102.5,81.75,30.0,34.0,10.77,3.37
Marial Shayok,2019,SF/PF,76.5,196.8,103.5,84.25,29.5,36.5,11.16,3.37
Simisola Shittu,2019,PF,80.5,227.2,106.0,85.25,27.0,35.5,11.85,3.3
P.J. Washington,2019,PF,78.5,230.4,106.5,86.25,28.8,33.7,11.6,3.3
Tremont Waters,2019,PG,69.5,172.4,93.5,74.25,30.5,40.5,10.76,3.07
Quinndary Weatherspoon,2019,SG,75.0,206.6,100.0,81.0,31.0,38.0,11.57,3.16
Coby White,2019,PG,75.5,191.4,97.5,77.0,30.0,35.8,11.2,3.2
Kris Wilkes,2019,SF,78.25,208.8,103.0,82.75,27.5,35.0,10.39,3.34
Grant Williams,2019,PF,77.75,240.2,104.5,81.75,26.0,31.5,10.83,3.33
Dylan Windler,2019,SF,78.25,195.8,104.5,82.0,29.0,37.5,10.7,3.3
Rawle Alkins,2018,SG,74.75,217.4,99.0,80.75,32.5,40.5,11.5,3.15
Grayson Allen,2018,SG,75.0,198.0,97.0,79.25,32.5,40.5,10.31,3.15
Kostas Antetokounmpo,2018,PF,81.0,194.8,110.0,86.25,29.5,35.0,12.48,3.21
Mohamed Bamba,2018,C,83.25,225.6,115.5,94.0,28.3,32.9,11.7,3.4
Jaylen Barford,2018,PG/SG,73.25,207.6,96.5,75.5,27.0,33.0,11.39,3.31
Keita Bates-Diop,2018,SG/SF,79.25,223.8,106.5,87.25,30.5,35.0,11.2,3.17
Tyus Battle,2018,SG,77.0,200.2,102.0,81.0,32.0,37.5,11.04,3.07
Brian Bowen,2018,SG/SF,78.25,202.0,103.5,82.25,30.5,34.0,11.58,3.28
Miles Bridges,2018,SF,77.25,220.4,103.5,81.5,29.2,34.3,11.4,3.3
Bruce Brown,2018,PG/SG,75.5,194.6,98.5,81.0,32.5,38.0,11.11,3.2
Troy Brown,2018,SF,77.75,208.0,105.0,82.25,26.0,33.0,11.51,3.33
Jalen Brunson,2018,PG,73.0,198.4,96.0,76.0,29.0,37.0,10.59,3.15
Tony Carr,2018,PG,75.0,198.8,100.0,80.25,25.0,31.5,11.89,3.17
