ncaa_player_name,consensus_tier,ncaa_year
John Wall,1,2010
Evan Turner,1,2010
Derrick Favors,2,2010
Wesley Johnson,2,2010
DeMarcus Cousins,2,2010
Greg Monroe,2,2010
Al-Farouq Aminu,3,2010
Ed Davis,3,2010
Ekpe Udoh,3,2010
Luke Babbitt,4,2010
Xavier Henry,4,2010
Patrick Patterson,4,2010
Gordon Hayward,4,2010
Paul George,4,2010
Cole Aldrich,4,2010
Avery Bradley,5,2010
Eric Bledsoe,5,2010
Hassan Whiteside,5,2010
Daniel Orton,5,2010
Larry Sanders,5,2010
Damion James,5,2010
Solomon Alabi,5,2010
Kevin Seraphin,5,2010
James Anderson,5,2010
Elliot Williams,6,2010
Jordan Crawford,6,2010
Dominique Jones,6,2010
Quincy Pondexter,6,2010
Devin Ebanks,6,2010
Tibor Pleiss,6,2010
Gani Lawal,6,2010
Kyrie Irving,1,2011
Derrick Williams,1,2011
Brandon Knight,2,2011
Enes Kanter,2,2011
Jonas Valanciunas,3,2011
Kemba Walker,3,2011
Jan Vesely,3,2011
Kawhi Leonard,3,2011
Alec Burks,4,2011
Marcus Morris,4,2011
Bismack Biyombo,4,2011
Tristan Thompson,5,2011
Jimmer Fredette,5,2011
Jordan Hamilton,5,2011
Klay Thompson,5,2011
Chris Singleton,5,2011
Donatas Motiejunas,5,2011
Markieff Morris,6,2011
MarShon Brooks,6,2011
Kenneth Faried,6,2011
Tobias Harris,6,2011
Nikola Vucevic,6,2011
Josh Selby,6,2011
Nikola Mirotic,6,2011
Tyler Honeycutt,6,2011
Darius Morris,6,2011
Anthony Davis,1,2012
Thomas Robinson,2,2012
Bradley Beal,2,2012
Harrison Barnes,2,2012
Michael Kidd-Gilchrist,2,2012
Andre Drummond,3,2012
Terrence Ross,3,2012
Dion Waiters,3,2012
Meyers Leonard,3,2012
Damian Lillard,3,2012
Austin Rivers,4,2012
Tyler Zeller,4,2012
Jeremy Lamb,4,2012
John Henson,4,2012
Jared Sullinger,4,2012
Moe Harkless,5,2012
Kendall Marshall,5,2012
Perry Jones,5,2012
Arnett Moultrie,5,2012
Marquis Teague,5,2012
Royce White,5,2012
Terrence Jones,5,2012
Andrew Nicholson,6,2012
Fab Melo,6,2012
Tony Wroten,6,2012
Jeffrey Taylor,6,2012
John Jenkins,6,2012
Draymond Green,6,2012
Tyshawn Taylor,6,2012
Nerlens Noel,2,2013
Otto Porter,2,2013
Ben McLemore,2,2013
Alex Len,2,2013
Victor Oladipo,2,2013
Anthony Bennett,2,2013
Trey Burke,3,2013
C.J. McCollum,3,2013
Cody Zeller,3,2013
Michael Carter-Williams,4,2013
Kentavious Caldwell-Pope,4,2013
Steven Adams,4,2013
Shabazz Muhammad,4,2013
Shane Larkin,5,2013
Dennis Schroeder,5,2013
Kelly Olynyk,5,2013
Sergey Karasev,5,2013
Gorgui Dieng,5,2013
Rudy Gobert,5,2013
Jamaal Franklin,5,2013
Mason Plumlee,5,2013
Giannis Adetokunbo,5,2013
Lucas Nogueira,6,2013
Tony Mitchell,6,2013
Tim Hardaway Jr,6,2013
Allen Crabbe,6,2013
Reggie Bullock,6,2013
Joel Embiid,1,2014
Andrew Wiggins,1,2014
Jabari Parker,1,2014
Dante Exum,2,2014
Noah Vonleh,2,2014
Julius Randle,2,2014
Marcus Smart,2,2014
Aaron Gordon,2,2014
Doug McDermott,3,2014
Dario Saric,3,2014
Gary Harris,3,2014
Nik Stauskas,3,2014
James Young,4,2014
Zach LaVine,4,2014
Adreian Payne,4,2014
Tyler Ennis,4,2014
Rodney Hood,4,2014
Jusuf Nurkic,4,2014
Elfrid Payton,4,2014
T.J. Warren,4,2014
Kyle Anderson,4,2014
Clint Capela,5,2014
P.J. Hairston,5,2014
K.J. McDaniels,5,2014
Jerami Grant,5,2014
Cleanthony Early,5,2014
Kristaps Porzingis,5,2014
Shabazz Napier,6,2014
Jordan Adams,6,2014
Glenn Robinson III,6,2014
Mitch McGary,6,2014
Karl-Anthony Towns,1,2015
Jahlil Okafor,1,2015
D'Angelo Russell,1,2015
Emmanuel Mudiay,2,2015
Kristaps Porzingis,2,2015
Justise Winslow,2,2015
Mario Hezonja,2,2015
Willie Cauley-Stein,3,2015
Stanley Johnson,3,2015
Devin Booker,3,2015
Myles Turner,3,2015
Frank Kaminsky,3,2015
Cameron Payne,4,2015
Kelly Oubre Jr.,4,2015
Trey Lyles,4,2015
Sam Dekker,4,2015
Bobby Portis,4,2015
Jerian Grant,5,2015
Tyus Jones,5,2015
Kevon Looney,5,2015
Rondae Hollis-Jefferson,5,2015
R.J. Hunter,6,2015
Montrezl Harrell,6,2015
Justin Anderson,6,2015
Delon Wright,6,2015
Rashad Vaughn,6,2015
Terry Rozier,6,2015
Jarell Martin,6,2015
Chris McCullough,6,2015
Christian Wood,6,2015
Ben Simmons,1,2016
Brandon Ingram,1,2016
Kris Dunn,2,2016
Jamal Murray,2,2016
Dragan Bender,2,2016
Marquese Chriss,2,2016
Buddy Hield,2,2016
Jaylen Brown,2,2016
Jakob Poeltl,3,2016
Deyonta Davis,3,2016
Skal Labissiere,3,2016
Domantas Sabonis,3,2016
Henry Ellenson,4,2016
Wade Baldwin IV,4,2016
Furkan Korkmaz,4,2016
Timothe Luwawu,4,2016
Denzel Valentine,4,2016
Dejounte Murray,5,2016
Malachi Richardson,5,2016
Malik Beasley,5,2016
Juan Hernangomez,5,2016
Ante Zizic,5,2016
Ivica Zubac,5,2016
Taurean Prince,5,2016
Demetrius Jackson,5,2016
Cheick Diallo,5,2016
DeAndre Bembry,5,2016
Brice Johnson,6,2016
Thon Maker,6,2016
Damian Jones,6,2016
Tyler Ulis,6,2016
Patrick McCaw,6,2016
Diamond Stone,6,2016
Markelle Fultz,1,2017
Lonzo Ball,1,2017
Josh Jackson,1,2017
Jayson Tatum,1,2017
De'Aaron Fox,2,2017
Jonathan Isaac,2,2017
Malik Monk,2,2017
Dennis Smith Jr.,2,2017
Lauri Markkanen,2,2017
Frank Ntilikina,2,2017
Zach Collins,3,2017
Luke Kennard,3,2017
Donovan Mitchell,3,2017
John Collins,4,2017
O.G. Anunoby,4,2017
Jarrett Allen,4,2017
Justin Jackson,4,2017
Harry Giles,4,2017
Justin Patton,5,2017
T.J. Leaf,5,2017
Bam Adebayo,5,2017
Ike Anigbogu,5,2017
Terrance Ferguson,5,2017
Ivan Rabb,6,2017
Isaiah Hartenstein,6,2017
D.J. Wilson,6,2017
Tyler Lydon,6,2017
Anzejs Pasecniks,6,2017
Semi Ojeleye,6,2017
Deandre Ayton,1,2018
Luka Doncic,1,2018
Marvin Bagley III,1,2018
Jaren Jackson Jr.,2,2018
Mohamed Bamba,2,2018
Michael Porter Jr.,2,2018
Wendell Carter Jr.,2,2018
Trae Young,2,2018
Mikal Bridges,3,2018
Collin Sexton,3,2018
Miles Bridges,3,2018
Kevin Knox,3,2018
Shai Gilgeous-Alexander,3,2018
Robert Williams,4,2018
Lonnie Walker IV,4,2018
Troy Brown,4,2018
Dzanan Musa,5,2018
Aaron Holiday,5,2018
Anfernee Simons,5,2018
Mitchell Robinson,5,2018
Khyri Thomas,5,2018
Chandler Hutchinson,6,2018
Keita Bates-Diop,6,2018
De'Anthony Melton,6,2018
Jontay Porter,6,2018
Donte DiVincenzo,6,2018
Jalen Brunson,6,2018
Bruce Brown,6,2018
Elie Okobo,6,2018
Zion Williamson,1,2019
Ja Morant,1,2019
RJ Barrett,1,2019
Darius Garland,2,2019
Jarrett Culver,2,2019
DeAndre Hunter,2,2019
Coby White,2,2019
Cam Reddish,3,2019
Nassir Little,3,2019
Sekou Doumbouya,3,2019
Jaxson Hayes,3,2019
Rui Hachimura,3,2019
Goga Bitadze,4,2019
Brandon Clarke,4,2019
Kevin Porter Jr.,4,2019
PJ Washington,4,2019
Keldon Johnnson,4,2019
Romeo Langford,5,2019
Bol Bol,5,2019
Tyler Herro,5,2019
Nickeil Alexander-Walker,5,2019
Cameron Johnson,5,2019
Bruno Fernando,6,2019
Nicolas Claxton,6,2019
Matisse Thybulle,6,2019
Mfiondu Kabengele,6,2019
Daniel Gafford,6,2019
KZ Okpala,6,2019
Darius Bazley,6,2019
LaMelo Ball,1,2020
Anthony Edwards,1,2020
James Wiseman,1,2020
Onyeka Okongwu,2,2020
Killian Hayes,2,2020
Deni Avdija,2,2020
Obi Toppin,2,2020
Tyrese Haliburton,2,2020
Isaac Okoro,2,2020
Devin Vassell,3,2020
Patrick Williams,3,2020
Kira Lewis Jr.,3,2020
R.J. Hampton,4,2020
Aaron Nesmith,4,2020
Saddiq Bey,4,2020
Tyrese Maxey,4,2020
Cole Anthony,4,2020
Aleksej Pokusevski,5,2020
Precious Achiuwa,5,2020
Tyrell Terry,5,2020
Josh Green,5,2020
Jalen Smith,5,2020
Jaden McDaniels,5,2020
Malachi Flynn,6,2020
Desmond Bane,6,2020
Theo Maledon,6,2020
Leandro Bolmaro,6,2020
Isaiah Stewart,6,2020
Tre Jones,6,2020
Zeke Nnaji,6,2020
Cade Cunningham,1,2021
Jalen Green,1,2021
Evan Mobley,1,2021
Jalen Suggs,2,2021
Scottie Barnes,2,2021
James Bouknight,2,2021
Jonathan Kuminga,2,2021
Franz Wagner,3,2021
Josh Giddey,3,2021
Moses Moody,3,2021
Alperen Sengun,3,2021
Davion Mitchell,3,2021
Corey Kispert,4,2021
Keon Johnson,4,2021
Kai Jones,4,2021
Chris Duarte,4,2021
Jalen Johnson,4,2021
Ziaire Williams,4,2021
Trey Murphy III,4,2021
Usman Garuba,5,2021
Jared Butler,5,2021
Cam Thomas,5,2021
Isaiah Jackson,5,2021
Jaden Springer,6,2021
Sharife Cooper,6,2021
Tre Mann,6,2021
Day'ron Sharpe,6,2021
Deuce McBride,6,2021
Bones Hyland,6,2021
Ayo Dosunmu,6,2021
Josh Primo,6,2021
Josh Christopher,6,2021
Chet Holmgren,1,
Paolo Banchero,1,
Jabari Smith Jr.,1,
Jaden Ivey,2,
Keegan Murray,2,
Bennedict Mathurin,2,
Dyson Daniels,2,
Shaedon Sharpe,2,
Johnny Davis,3,
Jalen Duren,3,
AJ Griffin,3,
Jeremy Sochan,3,
Ousmane Dieng,3,
Mark Williams,4,
Ochai Agbaji,4,
Tari Eason,4,
Malaki Branhham,4,
Jalen Williams,4,
Blake Wesley,5,
TyTy Washington Jr.,5,
E.J. Liddell,5,
MarJon Beauchamp,5,
Dalen Terry,5,
Jaden Hardy,5,
Walker Kessler,6,
Wendell Moore Jr.,6,
Nikola Jovic,6,
Kennedy Chandler,6,
Jake LaRavia,6,
Christian Braun,6,